Galaxy,Mode,Slope,Slope_Error,P_value,R_squared,N_points,Significance,Method
VCC0308,RDB,-0.06698396062153442,0.035569782426709384,0.3107685448222286,0.7800423963995946,3,not_significant,RDB_3bins
VCC0308,VNB,-0.003908880254096356,0.0026278654735896853,0.2752715840840541,0.525231276836036,4,not_significant,VNB
VCC0667,RDB,-0.021939884212451573,0.016738981963252905,0.41490815410046245,0.6320756773462513,3,not_significant,RDB_3bins
VCC0667,VNB,-0.002777162546394839,0.0034215942479954953,0.4437079719046366,0.08601724821697923,9,not_significant,VNB
VCC0688,RDB,0.014462709736212765,0.04596766892034913,0.8059441289034441,0.09007418950547255,3,not_significant,RDB_3bins
VCC1049,RDB,0.07971781686774722,0.04504789877315638,0.32744936474762437,0.7579610871932111,3,not_significant,RDB_3bins
VCC1049,VNB,-0.04173812067559112,0.050383736397141075,0.5595721330048355,0.4069696144588396,3,not_significant,VNB
VCC1146,RDB,0.014636061560180836,0.004959389910582712,0.20798679043687368,0.8970078132519849,3,not_significant,RDB_3bins
VCC1193,RDB,0.01572952108349801,0.037387896516467706,0.7464771773115888,0.15038105392676737,3,not_significant,RDB_3bins
VCC1368,RDB,0.009514801729918533,0.0363475513908016,0.837007561156744,0.06413047721056021,3,not_significant,RDB_3bins
VCC1368,VNB,0.003477518222889643,0.005663259092419021,0.5562376773492574,0.04501057317637971,10,not_significant,VNB
VCC1410,RDB,-0.07817744060530299,0.0028938811641535172,0.023554892255304192,0.9986316291729195,3,significant,RDB_3bins
VCC1431,RDB,-0.09280829637789752,0.010900555161948435,0.07443149423534016,0.986392652950664,3,marginal,RDB_3bins
VCC1431,VNB,-0.00026299428103680115,0.004373860485657421,0.9530429698973313,0.0003011970285656867,14,not_significant,VNB
VCC1486,RDB,0.05630048261756727,0.007146347179070155,0.08037774541837524,0.9841436766738387,3,marginal,RDB_3bins
VCC1549,RDB,-0.013613994635930406,0.035981033638533014,0.769722985544418,0.12523236598241247,3,not_significant,RDB_3bins
VCC1549,VNB,0.009653276752267822,0.004806257660767715,0.07946506543628094,0.3352166401726009,10,marginal,VNB
VCC1588,RDB,0.02834626744581805,0.00014739188166587987,0.003310197390314151,0.9999729639261505,3,highly_significant,RDB_3bins
VCC1588,VNB,-0.002858367310324674,0.0023498728727945565,0.24147621829883065,0.08464778378511281,18,not_significant,VNB
VCC1695,RDB,0.05960064602475603,0.02078308023341145,0.21359945031356023,0.8915869423063579,3,not_significant,RDB_3bins
VCC1811,RDB,0.0062764273911691745,0.014976426611381682,0.7473563367980173,0.14939514085489738,3,not_significant,RDB_3bins
VCC1890,RDB,0.0031125023048364947,0.012143271959913007,0.840263651170311,0.061647295729842656,3,not_significant,RDB_3bins
VCC1902,RDB,0.019921311023167597,0.057464109217384256,0.7875544442445587,0.1072885948817342,3,not_significant,RDB_3bins
VCC1902,VNB,-0.000703948057863619,0.00248141782300841,0.7814847740396171,0.006661887408675234,14,not_significant,VNB
VCC1910,RDB,0.008569519337901066,0.0708872135313064,0.9234110125652601,0.014403769068578775,3,not_significant,RDB_3bins
VCC1910,VNB,0.011735270494220395,0.009278795285722775,0.26170799254755445,0.2423747856542792,7,not_significant,VNB
VCC1949,RDB,-0.061503370252128285,0.02880487867505686,0.27884300611701895,0.820110218523472,3,not_significant,RDB_3bins
VCC1949,VNB,-0.02108911551178399,0.0049631922743587535,0.0053854580970264,0.7505703299650116,8,highly_significant,VNB
