galaxy,gradient_slope,gradient_error,intercept,r_squared,significance,n_bins_used,constraint_type,fe5015_out_of_range,mean_fe5015_weight,weight_reduction_applied,analysis_success
VCC0308,0.03303534625121132,0.26392109672756053,0.055441909175133613,0.013733603088935786,0.1251712980160617,3,RDB_3bin_R0,0,1.0,False,True
VCC0667,0.3764431995303826,0.29245194106620587,-0.06707615642888273,0.5427822928758927,1.2871967891817226,3,RDB_3bin_R0,0,1.0,False,True
VCC0688,0.0,0.25127456436201445,0.5,0.0,0.0,3,RDB_3bin_R0,2,0.5333333333333333,True,True
VCC0990,0.0,0.27654904425713367,0.5,0.0,0.0,3,RDB_3bin_R0,1,0.7666666666666666,True,True
VCC1049,0.0,0.0661236042551367,0.0,0.0,0.0,3,RDB_3bin_R0,1,0.7666666666666666,True,True
VCC1146,0.0,0.06560486710435491,0.0,0.0,0.0,3,RDB_3bin_R0,2,0.5333333333333333,True,True
VCC1193,-0.436139915528534,0.29794878777858513,0.5375650272390136,0.6817525339708832,1.4638083235050545,3,RDB_3bin_R0,0,1.0,False,True
VCC1368,0.20547388600949382,0.26558415659458623,0.2636654569702715,0.7349307003719725,0.773667709113949,3,RDB_3bin_R0,0,1.0,False,True
VCC1410,0.0,0.35628141772076155,0.3,0.0,0.0,3,RDB_3bin_R0,2,0.5333333333333333,True,True
VCC1431,0.0,0.3066828721147361,0.3000000000000001,0.0,0.0,3,RDB_3bin_R0,0,1.0,False,True
VCC1486,-0.32841459767989084,0.368152340745763,0.27046801136259246,0.854703169541661,0.8920616856995239,3,RDB_3bin_R0,2,0.5333333333333333,True,True
VCC1549,0.22932768142915771,0.35206846948030374,0.3178632576777032,0.866025567417227,0.6513723928975336,3,RDB_3bin_R0,0,1.0,False,True
VCC1588,0.24309615363848996,0.27576479356656797,-0.11418594222966423,0.19207396131339738,0.8815344065297008,3,RDB_3bin_R0,0,1.0,False,True
VCC1695,0.0,0.14249397537909586,0.0,0.0,0.0,3,RDB_3bin_R0,0,1.0,False,True
VCC1811,0.0,0.3143132801533062,0.5,0.0,0.0,3,RDB_3bin_R0,0,1.0,False,True
VCC1890,0.0,0.09921782333817893,0.0,0.0,0.0,3,RDB_3bin_R0,0,1.0,False,True
VCC1902,-0.02389352554201923,0.28703061638792754,0.11635049590694302,0.0044847842967230545,0.08324382201000698,3,RDB_3bin_R0,0,1.0,False,True
VCC1910,0.0,0.10995493292931773,0.0,0.0,0.0,3,RDB_3bin_R0,0,1.0,False,True
VCC1949,0.0,0.28710382605504514,0.0,0.0,0.0,3,RDB_3bin_R0,2,0.5333333333333333,True,True
