galaxy_name,n_bins_used,gradient_slope_enhanced,gradient_error_enhanced,alpha_fe_center_enhanced,alpha_fe_method,r_zero_method,quality_control
VCC0308,3,-0.08737537389952517,0.01489311759261796,0.4671513676876191,"Continuous 3D interpolation (Liu et al. 2016, Zheng et al. 2019)",Innermost bin set to R=0 (galaxy center),"Physics-based constraints, velocity dispersion normalized"
VCC0667,3,-0.10106268384556924,0.005713623493196531,0.22327310076143533,"Continuous 3D interpolation (Liu et al. 2016, Zheng et al. 2019)",Innermost bin set to R=0 (galaxy center),"Physics-based constraints, velocity dispersion normalized"
VCC0688,3,-0.07286973405173332,0.01594762692701357,0.5323629625474888,"Continuous 3D interpolation (Liu et al. 2016, Zheng et al. 2019)",Innermost bin set to R=0 (galaxy center),"Physics-based constraints, velocity dispersion normalized"
VCC0990,3,-0.05811799593389234,0.008712453063554936,0.09889784351078797,"Continuous 3D interpolation (Liu et al. 2016, Zheng et al. 2019)",Innermost bin set to R=0 (galaxy center),"Physics-based constraints, velocity dispersion normalized"
VCC1049,3,-0.08842727069804754,0.011281310718942816,0.5153126488825748,"Continuous 3D interpolation (Liu et al. 2016, Zheng et al. 2019)",Innermost bin set to R=0 (galaxy center),"Physics-based constraints, velocity dispersion normalized"
VCC1146,3,-0.15826136612604078,0.015918102873178783,0.3295326677510335,"Continuous 3D interpolation (Liu et al. 2016, Zheng et al. 2019)",Innermost bin set to R=0 (galaxy center),"Physics-based constraints, velocity dispersion normalized"
VCC1193,3,-0.14290038297525612,0.008645401791522596,0.28372664245825113,"Continuous 3D interpolation (Liu et al. 2016, Zheng et al. 2019)",Innermost bin set to R=0 (galaxy center),"Physics-based constraints, velocity dispersion normalized"
VCC1368,3,-0.053533053715867134,0.020191680027141744,0.28681409203071034,"Continuous 3D interpolation (Liu et al. 2016, Zheng et al. 2019)",Innermost bin set to R=0 (galaxy center),"Physics-based constraints, velocity dispersion normalized"
VCC1410,3,-0.005295707422389828,0.004139494466100388,0.011154827218753025,"Continuous 3D interpolation (Liu et al. 2016, Zheng et al. 2019)",Innermost bin set to R=0 (galaxy center),"Physics-based constraints, velocity dispersion normalized"
VCC1431,3,-0.17773311461794067,0.0034360061866071222,0.46617815246772565,"Continuous 3D interpolation (Liu et al. 2016, Zheng et al. 2019)",Innermost bin set to R=0 (galaxy center),"Physics-based constraints, velocity dispersion normalized"
VCC1486,3,-0.05491334961581741,0.008198285238469263,0.24960148203879465,"Continuous 3D interpolation (Liu et al. 2016, Zheng et al. 2019)",Innermost bin set to R=0 (galaxy center),"Physics-based constraints, velocity dispersion normalized"
VCC1549,3,-0.11977121053475291,0.006904071255714175,0.41595049980724913,"Continuous 3D interpolation (Liu et al. 2016, Zheng et al. 2019)",Innermost bin set to R=0 (galaxy center),"Physics-based constraints, velocity dispersion normalized"
VCC1588,3,-0.14094848477340768,0.00726134965838833,0.4242371150118193,"Continuous 3D interpolation (Liu et al. 2016, Zheng et al. 2019)",Innermost bin set to R=0 (galaxy center),"Physics-based constraints, velocity dispersion normalized"
VCC1695,3,-0.19830271283480433,0.013467293918073378,0.46134102889190715,"Continuous 3D interpolation (Liu et al. 2016, Zheng et al. 2019)",Innermost bin set to R=0 (galaxy center),"Physics-based constraints, velocity dispersion normalized"
VCC1811,3,-0.09124630820334087,0.0009712042818948016,0.36055510501068005,"Continuous 3D interpolation (Liu et al. 2016, Zheng et al. 2019)",Innermost bin set to R=0 (galaxy center),"Physics-based constraints, velocity dispersion normalized"
VCC1890,3,-0.016354423474478734,0.001699353119106367,0.014722504684247347,"Continuous 3D interpolation (Liu et al. 2016, Zheng et al. 2019)",Innermost bin set to R=0 (galaxy center),"Physics-based constraints, velocity dispersion normalized"
VCC1902,3,-0.10796343526881302,0.010039685109825995,0.4020488218199643,"Continuous 3D interpolation (Liu et al. 2016, Zheng et al. 2019)",Innermost bin set to R=0 (galaxy center),"Physics-based constraints, velocity dispersion normalized"
VCC1910,3,-0.06970203525602102,0.016931915389233543,0.19261161012660116,"Continuous 3D interpolation (Liu et al. 2016, Zheng et al. 2019)",Innermost bin set to R=0 (galaxy center),"Physics-based constraints, velocity dispersion normalized"
VCC1949,3,-0.10870171838534536,0.004136150262896431,0.36829482803114333,"Continuous 3D interpolation (Liu et al. 2016, Zheng et al. 2019)",Innermost bin set to R=0 (galaxy center),"Physics-based constraints, velocity dispersion normalized"
