Age,ZoH,CN1,CN2,Ca4227,G4300,Fe4383,Ca4455,Fe4531,C24668,Hb,Fe5015,Mg1,Mg2,Mgb,Fe5270,Fe5335,Fe5406,Fe5709,Fe5782,NaD,TiO1,TiO2
1,-2.25,-0.2572,-0.1490,-0.4347,-4.2937,-3.1467,-0.2036,-0.8295,1.4433,6.9993,-0.0706,0.0162,-0.0026,0.2327,0.0603,0.1690,-0.1685,-0.0496,-0.4578,0.8483,0.0136,-0.0056
2,-2.25,-0.2016,-0.1207,-0.2101,-2.3830,-2.0388,-0.0679,-0.3574,0.7673,5.0155,0.3281,0.0071,0.0105,0.4252,0.2007,0.2915,-0.0511,-0.0063,-0.3577,0.7711,0.0127,-0.0044
3,-2.25,-0.1860,-0.1137,-0.1152,-1.8620,-1.7522,-0.0273,-0.1911,0.4939,4.5837,0.4408,0.0052,0.0137,0.4437,0.2940,0.3362,-0.0062,0.0082,-0.3268,0.7897,0.0120,-0.0046
4,-2.25,-0.1729,-0.1079,-0.0403,-1.4737,-1.4904,-0.0049,-0.0812,0.2810,4.2494,0.4971,0.0039,0.0184,0.5414,0.3583,0.3519,0.0215,0.0104,-0.3150,0.8128,0.0115,-0.0049
5,-2.25,-0.1608,-0.1022,0.0268,-1.0895,-1.2473,0.0151,0.0086,0.1102,3.9359,0.5342,0.0034,0.0226,0.6275,0.4151,0.3664,0.0422,0.0121,-0.3061,0.8425,0.0111,-0.0052
6,-2.25,-0.1477,-0.0943,0.0811,-0.7567,-0.9188,0.0536,0.1049,0.0229,3.6613,0.5956,0.0024,0.0253,0.6532,0.4865,0.4103,0.0809,0.0211,-0.2796,0.8506,0.0109,-0.0053
8,-2.25,-0.1303,-0.0864,0.1561,-0.3295,-0.5557,0.0589,0.1774,-0.1969,3.1867,0.6029,0.0043,0.0352,0.9447,0.4977,0.4040,0.0862,0.0152,-0.2907,0.9367,0.0103,-0.0059
10,-2.25,-0.1222,-0.0816,0.1850,-0.2947,-0.2313,0.0756,0.2124,-0.2699,3.0911,0.6147,0.0061,0.0376,0.9511,0.5449,0.4371,0.1107,0.0198,-0.2760,0.9926,0.0099,-0.0063
12,-2.25,-0.1202,-0.0804,0.1778,-0.5458,-0.0606,0.0751,0.1837,-0.3057,3.1484,0.5975,0.0091,0.0390,0.9693,0.5704,0.4617,0.1286,0.0259,-0.2685,1.0504,0.0095,-0.0069
15,-2.25,-0.1177,-0.0796,0.2454,-0.0949,0.1437,0.1175,0.2323,-0.3061,2.7796,0.6055,0.0139,0.0461,1.0573,0.5760,0.5067,0.1428,0.0298,-0.2673,1.1424,0.0092,-0.0072
1,-1.35,-0.1755,-0.0954,-0.0548,-1.1821,-1.3782,0.1066,0.4923,0.0193,4.9652,1.1830,0.0156,0.0367,0.8631,0.1938,0.2938,0.0968,0.2437,-0.0279,0.8106,0.0135,-0.0003
2,-1.35,-0.1638,-0.0917,0.0578,-0.7044,-0.9976,0.1677,0.6855,-0.1638,4.5531,1.3391,0.0148,0.0442,0.9984,0.2811,0.3605,0.1476,0.2523,0.0055,0.8477,0.0135,0.0006
3,-1.35,-0.1476,-0.0830,0.1510,-0.1135,-0.6973,0.2391,0.8558,-0.2112,4.1693,1.4864,0.0150,0.0505,1.1153,0.3956,0.4281,0.1919,0.2652,0.0265,0.8973,0.0135,0.0013
4,-1.35,-0.1299,-0.0724,0.2324,0.4835,-0.3488,0.3093,1.0077,-0.2037,3.7579,1.6157,0.0163,0.0571,1.2360,0.5107,0.4869,0.2389,0.2781,0.0466,0.9557,0.0137,0.0020
5,-1.35,-0.1135,-0.0622,0.3033,1.0492,-0.0338,0.3712,1.1356,-0.1891,3.3497,1.7325,0.0181,0.0631,1.3417,0.6075,0.5331,0.2789,0.2921,0.0616,1.0029,0.0140,0.0028
6,-1.35,-0.1018,-0.0549,0.3568,1.4382,0.2364,0.4212,1.2312,-0.1621,3.0585,1.8129,0.0200,0.0680,1.4100,0.6876,0.5806,0.3158,0.3023,0.0804,1.0534,0.0141,0.0034
8,-1.35,-0.0869,-0.0457,0.4264,1.9392,0.5499,0.4714,1.3325,-0.1726,2.6730,1.8950,0.0233,0.0758,1.5460,0.7537,0.6208,0.3431,0.3113,0.0861,1.1348,0.0144,0.0040
10,-1.35,-0.0764,-0.0389,0.4809,2.2867,0.7973,0.5151,1.4082,-0.1606,2.4214,1.9667,0.0267,0.0818,1.6243,0.8118,0.6597,0.3711,0.3220,0.0965,1.2072,0.0148,0.0048
12,-1.35,-0.0725,-0.0360,0.4979,2.3248,0.9381,0.5343,1.4378,-0.1487,2.3482,1.9850,0.0287,0.0861,1.6114,0.8463,0.6918,0.3916,0.3232,0.1070,1.2760,0.0151,0.0053
15,-1.35,-0.0995,-0.0526,0.4514,1.4710,0.7580,0.4647,1.3129,-0.2288,2.6800,1.8699,0.0316,0.0838,1.5436,0.7758,0.6729,0.3823,0.3143,0.0959,1.3534,0.0152,0.0052
1,-0.33,-0.1012,-0.0428,0.3618,1.5276,0.5127,0.7281,1.7830,1.3193,4.0471,3.1594,0.0454,0.1167,2.0352,1.2869,0.9182,0.6066,0.6230,0.3723,1.5622,0.0218,0.0199
2,-0.33,-0.0573,-0.0118,0.5784,3.0911,1.4869,0.9693,2.1771,1.9839,3.0584,3.5909,0.0573,0.1427,2.5107,1.5421,1.1428,0.7554,0.6532,0.4241,1.8363,0.0290,0.0348
3,-0.33,-0.0422,-0.0011,0.6729,3.6431,1.8375,1.0526,2.3116,2.2237,2.7018,3.7242,0.0632,0.1539,2.7013,1.6367,1.2232,0.7945,0.6540,0.4375,1.9657,0.0326,0.0418
4,-0.33,-0.0311,0.0069,0.7376,4.0358,2.0959,1.1107,2.4001,2.3569,2.4672,3.8127,0.0674,0.1613,2.8220,1.7037,1.2712,0.8271,0.6589,0.4462,2.0492,0.0337,0.0452
5,-0.33,-0.0246,0.0113,0.7802,4.2768,2.2658,1.1452,2.4515,2.4185,2.3286,3.8674,0.0698,0.1659,2.9050,1.7463,1.2990,0.8470,0.6605,0.4503,2.1075,0.0342,0.0469
6,-0.33,-0.0203,0.0139,0.8187,4.4673,2.4136,1.1739,2.4933,2.4632,2.2313,3.9012,0.0726,0.1707,2.9776,1.7803,1.3294,0.8725,0.6605,0.4541,2.1676,0.0349,0.0492
8,-0.33,-0.0125,0.0196,0.8834,4.7776,2.6303,1.2268,2.5680,2.5622,2.0652,3.9734,0.0780,0.1810,3.1548,1.8363,1.3747,0.8951,0.6638,0.4601,2.2838,0.0361,0.0532
10,-0.33,-0.0037,0.0265,0.9513,5.0791,2.8384,1.2908,2.6510,2.7083,1.9053,4.0878,0.0843,0.1924,3.3411,1.9040,1.4254,0.9240,0.6715,0.4717,2.4083,0.0382,0.0580
12,-0.33,0.0036,0.0325,1.0015,5.3170,2.9928,1.3496,2.7201,2.8065,1.7788,4.2031,0.0903,0.2018,3.4870,1.9633,1.4732,0.9624,0.6823,0.4831,2.5165,0.0395,0.0620
15,-0.33,0.0076,0.0366,1.0528,5.4596,3.1335,1.4054,2.7865,2.8911,1.6796,4.2446,0.1004,0.2125,3.5937,2.0114,1.5152,0.9953,0.6954,0.4929,2.6640,0.0407,0.0667
1,0.00,-0.0865,-0.0317,0.4713,1.9700,0.8863,0.9132,1.9971,2.3719,4.2423,3.6276,0.0553,0.1422,2.5052,1.5839,1.1905,0.6610,0.6707,0.4255,1.9794,0.0211,0.0191
2,0.00,-0.0156,0.0241,0.7608,4.1596,2.3127,1.2884,2.5714,3.6472,2.7202,4.3365,0.0854,0.1905,3.3042,1.9892,1.5347,0.9051,0.7468,0.5171,2.4654,0.0339,0.0450
3,0.00,0.0163,0.0528,0.8858,4.9244,2.9464,1.4517,2.7829,4.2590,2.3307,4.6971,0.0977,0.2158,3.7720,2.1573,1.6376,1.0118,0.7870,0.5583,2.7233,0.0405,0.0582
4,0.00,0.0250,0.0599,0.9514,5.2161,3.1736,1.5044,2.8537,4.4123,2.1966,4.7893,0.1034,0.2264,3.9680,2.2115,1.6834,1.0410,0.7927,0.5671,2.8073,0.0416,0.0618
5,0.00,0.0351,0.0689,1.0122,5.4841,3.3807,1.5599,2.9273,4.5808,2.0675,4.8701,0.1098,0.2371,4.1618,2.2665,1.7289,1.0818,0.8033,0.5795,2.9011,0.0424,0.0655
6,0.00,0.0431,0.0760,1.0579,5.7014,3.5354,1.6032,2.9815,4.7062,1.9688,4.9440,0.1141,0.2448,4.3038,2.3083,1.7634,1.1037,0.8117,0.5892,2.9671,0.0427,0.0675
8,0.00,0.0466,0.0782,1.1068,5.8847,3.6450,1.6337,3.0117,4.7537,1.8825,5.0171,0.1169,0.2514,4.4633,2.3379,1.7893,1.1084,0.8087,0.5880,3.0333,0.0431,0.0700
10,0.00,0.0544,0.0854,1.1713,6.0951,3.7979,1.6852,3.0740,4.8804,1.7670,5.0834,0.1234,0.2625,4.6457,2.3851,1.8303,1.1327,0.8130,0.5959,3.1548,0.0442,0.0750
12,0.00,0.0655,0.0965,1.2399,6.3148,3.9666,1.7502,3.1567,5.0609,1.6401,5.1379,0.1327,0.2758,4.8132,2.4408,1.8785,1.1703,0.8219,0.6089,3.3109,0.0457,0.0815
15,0.00,0.0792,0.1105,1.3255,6.5418,4.0979,1.8308,3.2460,5.2580,1.5031,5.2558,0.1452,0.2908,5.0290,2.5112,1.9346,1.2077,0.8289,0.6225,3.5040,0.0481,0.0898
1,0.35,-0.0206,0.0260,0.7554,3.5514,2.2169,1.4107,2.6698,4.9471,3.2916,4.8725,0.0966,0.2061,3.3811,2.1820,1.7634,1.0457,0.8506,0.6144,3.0798,0.0368,0.0513
2,0.35,0.0480,0.0869,1.0357,5.1168,3.7432,1.7230,3.0987,6.1722,2.3434,5.4402,0.1261,0.2604,4.3837,2.4911,2.0326,1.2374,0.9261,0.6859,3.5233,0.0424,0.0654
3,0.35,0.0590,0.0951,1.1321,5.5201,4.0619,1.7888,3.1854,6.3572,2.1661,5.5705,0.1336,0.2730,4.6467,2.5533,2.0868,1.2715,0.9368,0.6953,3.6030,0.0427,0.0678
4,0.35,0.0729,0.1079,1.2261,5.8244,4.3123,1.8616,3.2838,6.5922,2.0038,5.6799,0.1435,0.2877,4.8982,2.6238,2.1496,1.3137,0.9465,0.7075,3.7509,0.0440,0.0726
5,0.35,0.0804,0.1147,1.2945,6.0396,4.4826,1.9109,3.3499,6.7406,1.8923,5.7411,0.1507,0.2980,5.0574,2.6665,2.1913,1.3375,0.9545,0.7166,3.8583,0.0448,0.0766
6,0.35,0.0887,0.1228,1.3530,6.2073,4.6179,1.9551,3.4083,6.8789,1.7991,5.7903,0.1572,0.3076,5.1993,2.7033,2.2262,1.3612,0.9614,0.7257,3.9650,0.0457,0.0808
8,0.35,0.0966,0.1301,1.4351,6.3806,4.7510,2.0020,3.4657,6.9907,1.6894,5.8392,0.1641,0.3185,5.3738,2.7455,2.2630,1.3797,0.9614,0.7303,4.0942,0.0462,0.0854
10,0.35,0.1079,0.1414,1.5136,6.5395,4.8577,2.0538,3.5260,7.1369,1.5868,5.8987,0.1702,0.3290,5.5444,2.7892,2.2978,1.4010,0.9602,0.7353,4.2339,0.0472,0.0906
12,0.35,0.1236,0.1583,1.6162,6.6754,4.9870,2.1245,3.6152,7.3582,1.4726,5.9758,0.1809,0.3438,5.7342,2.8539,2.3490,1.4384,0.9645,0.7491,4.4336,0.0491,0.0982
15,0.35,0.1453,0.1818,1.7480,6.7967,5.0717,2.2113,3.7237,7.6300,1.3410,6.0494,0.1989,0.3622,5.9449,2.9298,2.4061,1.4841,0.9698,0.7708,4.7116,0.0515,0.1090
1,0.67,-0.0266,0.0137,0.8367,4.0135,2.6819,1.5712,2.8040,5.8748,3.2311,5.3218,0.1002,0.2028,3.2325,2.3144,2.0747,1.1252,0.9344,0.6444,3.3241,0.0253,0.0318
2,0.67,0.0415,0.0745,1.1989,5.6474,4.7547,1.9307,3.3204,7.4331,2.3114,6.0213,0.1437,0.2833,4.6291,2.6909,2.4091,1.3718,1.0115,0.7296,4.0421,0.0402,0.0642
3,0.67,0.0934,0.1279,1.4867,6.2412,5.3512,2.1600,3.6434,8.5012,1.8861,6.3891,0.1809,0.3351,5.4728,2.9272,2.6053,1.5376,1.0721,0.8074,4.6662,0.0478,0.0819
4,0.67,0.1280,0.1647,1.6699,6.5229,5.6519,2.2936,3.8247,9.0634,1.6603,6.5475,0.2036,0.3668,5.9472,3.0476,2.7016,1.6237,1.0986,0.8451,5.0417,0.0510,0.0906
5,0.67,0.1381,0.1753,1.6956,6.5953,5.7599,2.3313,3.8791,9.1988,1.5873,6.5906,0.2106,0.3763,6.0740,3.0840,2.7281,1.6377,1.1013,0.8525,5.0756,0.0509,0.0911
6,0.67,0.1479,0.1862,1.7387,6.6631,5.8026,2.3613,3.9197,9.3191,1.5328,6.6206,0.2161,0.3846,6.1853,3.1106,2.7532,1.6507,1.1061,0.8612,5.1603,0.0508,0.0915
8,0.67,0.1705,0.2108,1.8712,6.7773,5.8982,2.4340,4.0154,9.5984,1.4101,6.6888,0.2294,0.4033,6.4405,3.1823,2.8091,1.6939,1.1165,0.8842,5.4287,0.0515,0.0949
10,0.67,0.2007,0.2442,2.0989,6.8671,6.0220,2.5265,4.1390,9.9424,1.2597,6.7736,0.2455,0.4264,6.7621,3.2690,2.8766,1.7459,1.1289,0.9096,5.8682,0.0537,0.1023
12,0.67,0.2343,0.2815,2.2409,6.8157,6.0524,2.5889,4.2329,10.2176,1.1739,6.8343,0.2589,0.4444,6.9823,3.3476,2.9348,1.7854,1.1326,0.9318,6.1552,0.0550,0.1060
15,0.67,0.3005,0.3541,2.3958,6.6693,6.0528,2.6570,4.3552,10.6631,1.0736,6.7895,0.2827,0.4667,7.1696,3.4507,2.9976,1.8342,1.1434,0.9720,6.5935,0.0548,0.1098
