Galaxy,Mode,Slope,Slope_Error
VCC0308,RDB,-0.06698396062153442,nan
VCC0308,RADIUS_1P5_RE,-0.025380557308797333,nan
VCC0308,RADIUS_2P0_RE,-0.0004078874583844508,nan
VCC0667,RDB,-0.021939884212451573,nan
VCC0667,RADIUS_1P5_RE,0.0039527448708071835,nan
VCC0667,RADIUS_2P0_RE,-0.030606460911739696,nan
VCC0688,RDB,0.014462709736212765,nan
VCC0688,RADIUS_1P5_RE,0.014365762784867394,nan
VCC0688,RADIUS_2P0_RE,0.014365762784867394,nan
VCC1049,RDB,0.07971781686774722,nan
VCC1049,RADIUS_1P5_RE,0.05226428286237971,nan
VCC1049,RADIUS_2P0_RE,0.05226428286237971,nan
VCC1146,RDB,-0.04186763390552607,nan
VCC1146,RADIUS_2P0_RE,-0.04186763390552607,nan
VCC1146,RDB,0.014636061560180836,nan
VCC1146,RADIUS_1P5_RE,-0.013251127068915543,nan
VCC1146,RADIUS_2P0_RE,-0.01557028776687212,nan
VCC1193,RDB,0.01572952108349801,nan
VCC1193,RADIUS_1P5_RE,0.04617693637644719,nan
VCC1193,RADIUS_2P0_RE,0.04617693637644719,nan
VCC1368,RDB,0.009514801729918533,nan
VCC1368,RADIUS_1P5_RE,0.008104285377502103,nan
VCC1368,RADIUS_2P0_RE,-0.00199407475082232,nan
VCC1410,RDB,-0.07817744060530299,nan
VCC1410,RADIUS_1P5_RE,0.016265910292221113,nan
VCC1410,RADIUS_2P0_RE,0.016265910292221113,nan
VCC1431,RDB,-0.09280829637789752,nan
VCC1431,RADIUS_1P5_RE,-0.06111663815146201,nan
VCC1431,RADIUS_2P0_RE,-0.06111663815146201,nan
VCC1486,RDB,0.05630048261756727,nan
VCC1486,RADIUS_1P5_RE,0.08898638710456219,nan
VCC1486,RADIUS_2P0_RE,0.00818701753944552,nan
VCC1549,RDB,-0.013613994635930406,nan
VCC1549,RADIUS_1P5_RE,-0.03776459761456215,nan
VCC1549,RADIUS_2P0_RE,0.0006114295529345506,nan
VCC1588,RDB,0.02834626744581805,nan
VCC1588,RADIUS_1P5_RE,0.010792880820912064,nan
VCC1588,RADIUS_2P0_RE,0.009153691652820426,nan
VCC1695,RDB,0.019861362354843506,nan
VCC1695,RADIUS_2P0_RE,0.019861362354843506,nan
VCC1695_selected,RDB,-0.02383887625796536,nan
VCC1695_selected,RADIUS_2P0_RE,-0.02383887625796536,nan
VCC1695,RDB,0.05960064602475603,nan
VCC1695,RADIUS_1P5_RE,0.04651192667532197,nan
VCC1695,RADIUS_2P0_RE,0.04651192667532197,nan
VCC1811,RDB,0.0062764273911691745,nan
VCC1811,RADIUS_1P5_RE,0.018700824020674696,nan
VCC1811,RADIUS_2P0_RE,0.02224770753806743,nan
VCC1890,RDB,0.0031125023048364947,nan
VCC1890,RADIUS_1P5_RE,0.056898075724368294,nan
VCC1890,RADIUS_2P0_RE,0.056898075724368294,nan
VCC1902,RDB,0.019921311023167597,nan
VCC1902,RADIUS_1P5_RE,0.0010921377470309137,nan
VCC1902,RADIUS_2P0_RE,-0.0011886314353755784,nan
VCC1910,RDB,0.008569519337901066,nan
VCC1910,RADIUS_1P5_RE,0.005382624454813371,nan
VCC1910,RADIUS_2P0_RE,0.005382624454813371,nan
VCC1949_best2,RDB,0.024457418826901153,nan
VCC1949,RDB,-0.061503370252128285,nan
VCC1949,RADIUS_1P5_RE,-0.03158682110035585,nan
VCC1949,RADIUS_2P0_RE,-0.03158682110035585,nan
