Galaxy,Type,Redshift,Shape,Valid_Pixels,Alpha_Fe_Success,Mean_Alpha_Fe,Std_Alpha_Fe,Alpha_Fe_Min,Alpha_Fe_Max,Has_RDB,Has_VNB,Gradient_Slope,Gradient_Error,Gradient_P_Value,Gradient_R_Value,N_Gradient_Bins
VCC0308,dE,0.0055,23x87,1908,364,0.23391849957186034,0.08895083165308203,-0.2,0.3989249834076265,True,True,0.041597501896602565,0.06803550792035798,0.5841427641919854,0.3328669108717194,5
VCC0667,Sd,0.0048,23x87,1888,263,0.21737805718643283,0.09714959644774834,-0.2,0.4257039025450801,True,True,-0.00598229766524691,0.07468503285654995,0.9412016053293899,-0.04619658799598438,5
VCC0688,Sc,0.0038,23x87,1500,142,0.20364741821004545,0.1331875063211178,-0.2,0.4082992075667732,True,True,-0.12430041322744344,0.08975096957038046,0.26008976656433064,-0.6245045453842712,5
VCC0990,dS0(N),0.0058,23x87,751,40,0.23631793639461995,0.15651499818577516,-0.2,0.4423650867706217,True,True,-0.14280034963955401,0.39489865802998164,0.752271503200691,-0.247728496799309,4
VCC1049,dE(N),0.0021,23x87,1815,109,0.2106135944211265,0.06772892147747026,0.0,0.3390764984025498,True,True,0.14161638388749515,0.10241200774429461,0.2606751392996819,0.6239160692891744,5
VCC1146,E,0.0023,23x87,1961,231,0.2285430854386834,0.08811633012879466,-0.2,0.462728380714595,True,True,0.0011187998307348697,0.020725191885755646,0.9603427827698461,0.031151744749200683,5
VCC1193,Sd,0.0025,23x87,1700,77,0.1950168628272433,0.10815716672177939,-0.2,0.3981364123834701,True,True,0.16239599812776054,0.18633026845005646,0.44759271325353234,0.449491213643644,5
VCC1368,SBa,0.0035,23x87,1922,336,0.24152900685839962,0.10599946644814048,-0.2,0.4467034259585562,True,True,-0.033460515074012966,0.09932636153062399,0.7584017275800486,-0.19091706426669364,5
VCC1410,Sd,0.0054,23x87,1751,78,0.2142651769510753,0.09740755149551748,-0.2,0.4487863359533435,True,True,0.09817118046210337,0.13676479932767954,0.5247220663253839,0.3828524868574731,5
VCC1431,dE,0.005,23x87,1816,305,0.24404297399801772,0.08283718218212499,-0.2,0.4345868722687534,True,True,-0.10903039074513804,0.03356989605865284,0.04756651574962266,-0.8823689902644097,5
VCC1486,Sc,0.0004,23x87,1806,79,0.2235831041538698,0.09433072193552222,-0.1031713182903315,0.4060791998644416,True,True,0.02874947283892659,0.021447946960714018,0.2725762971939752,0.612026873856679,5
VCC1549,dE(N),0.0046,23x87,1881,257,0.2511351680803022,0.08772638105913758,-0.13680086765433816,0.44860095732087724,True,True,-0.09723074219769383,0.03217447268818488,0.056669858400990876,-0.8675989712635157,5
VCC1588,Sd,0.0042,23x87,1982,592,0.21396241648834935,0.08813411229898291,-0.2,0.4812601011338809,True,True,-0.0019222060862437945,0.03822258556254202,0.9630524696412173,-0.029022597343716545,5
VCC1695,dE,0.0058,23x87,1854,207,0.23540131962162855,0.08553476700555587,-0.2,0.4479107299471845,True,True,0.043186901303099094,0.08867792972951702,0.6596177491498185,0.27067818766099006,5
VCC1811,Sc,0.0023,23x87,1973,439,0.1986057022484348,0.11137869690538346,-0.2,0.4009082159428675,True,True,0.11169235915594179,0.07934166655923323,0.2539351969150649,0.6307134478849108,5
VCC1890,dE,0.004,23x87,1814,102,0.22926279503864172,0.09037063275460193,-0.2,0.44555489668539106,True,True,-0.01819757745965326,0.13399300365634262,0.9005723764012172,-0.07816995622852072,5
VCC1902,SBa,0.0038,23x87,1987,579,0.23020444046857227,0.08435540176128703,-0.2,0.43031139060900975,True,True,-0.03787367918915149,0.02144373380660065,0.17553842737331632,-0.713973142182005,5
VCC1910,dE(N),0.0007,23x87,1738,291,0.24034401765671226,0.09611138235404043,-0.2,0.43108311821501444,True,True,-0.06855527933507516,0.04293531594457839,0.20861004953853815,-0.6777973954496933,5
VCC1949,dS0(N),0.0058,23x87,1947,207,0.2418452000638074,0.07939788836223709,-0.2,0.40418816871710916,True,True,-0.07085445401528866,0.07247706496239253,0.40036355685212016,-0.49153391811270064,5
