name,category,ra_deg,dec_deg,v_kms,v_mean_kms,delta_v_kms,has_emission,slope_dex_per_Re,slope_error_dex_per_Re,gradient_method
VCC0308,galaxy,184.71179167,7.86291667,1572.0,1454.388888888889,117.61111111111109,True,-0.0722454755189709,0.0014934573594846,
VCC0667,galaxy,185.951875,7.18641667,1431.0,1454.388888888889,-23.388888888888914,True,-0.0662669466209892,0.0145806522815925,
VCC0688,galaxy,186.00083333,7.78525,1061.0,1454.388888888889,-393.3888888888889,True,-0.072118397556233,0.0253961158346273,
VCC1049,galaxy,186.97720833,8.09055556,1249.0,1454.388888888889,-205.3888888888889,True,0.0593322640533798,0.0641739162972839,
VCC1146,galaxy,187.23920833,13.24186111,1404.0,1454.388888888889,-50.388888888888914,True,-0.1079914611259821,0.0109601630729694,
VCC1193,galaxy,187.38029167,7.69722222,1543.0,1454.388888888889,88.61111111111109,True,0.0490411039932618,0.1107472932122293,
VCC1368,galaxy,187.88520834,11.626,1322.0,1454.388888888889,-132.3888888888889,True,0.0219859206475915,0.0409974468381489,
VCC1410,galaxy,188.01254167,16.68780556,1411.0,1454.388888888889,-43.388888888888914,True,0.0074295944824176,0.0486932290099147,
VCC1431,galaxy,188.09841667,11.26347222,1379.0,1454.388888888889,-75.38888888888891,True,-0.1123283205338055,0.0441828430985143,
VCC1486,galaxy,188.29304167,11.34744444,1588.0,1454.388888888889,133.6111111111111,True,-0.0097742922226239,0.0548785641631731,
VCC1549,galaxy,188.56275,11.07166667,1359.0,1454.388888888889,-95.38888888888891,False,-0.025052512954847,0.0203156016854024,
VCC1588,galaxy,188.711375,15.55197222,1947.0,1454.388888888889,492.6111111111111,True,-0.0121812858392797,0.0205618391256731,
VCC1695,galaxy,189.23066667,12.52055556,1359.0,1454.388888888889,-95.38888888888891,True,0.0124513144018889,0.0422408227188486,
VCC1811,galaxy,189.9665,15.29788889,1386.0,1454.388888888889,-68.38888888888891,True,0.0092698754666362,0.0010293647014615,
VCC1890,galaxy,190.44312499,11.48869444,1438.0,1454.388888888889,-16.388888888888914,True,-0.0205648586201374,0.0280924074736916,
VCC1902,galaxy,190.49858333,12.94327778,1452.0,1454.388888888889,-2.388888888888914,True,0.0267255440113591,0.0514787961370328,
VCC1910,galaxy,190.53554167,11.75422222,1995.0,1454.388888888889,540.6111111111111,True,-0.0533877448626245,0.0587615569864766,
VCC1949,galaxy,190.741125,12.28755556,1283.0,1454.388888888889,-171.3888888888889,True,-0.0289844002384731,0.0156920213532402,
M87,major,187.70591,12.39112,1307.0,1454.388888888889,-147.3888888888889,,,,
M86,major,186.54958,12.94694,-244.0,1454.388888888889,-1698.388888888889,,,,
