name,category,ra_deg,dec_deg,r_proj_mpc,v_kms,v_mean_kms,delta_v_kms,sigma_v_kms,v_over_sigma,has_emission,slope_dex_per_Re,slope_error_dex_per_Re,gradient_method
32.0,background,182.7613724,12.1039918,1.4363315225518836,1877.0,1454.388888888889,422.6111111111111,223.8834094919756,1.8876392496883885,,,,
33.0,background,182.7823394,14.2748006,1.5287649213367112,1179.0,1454.388888888889,-275.3888888888889,223.8834094919756,-1.2300549179315556,,,,
49.0,background,183.0719332,13.205196,1.3644326096497645,2273.0,1454.388888888889,818.6111111111111,223.8834094919756,3.656417029598844,,,,
66.0,background,183.1940241,10.8666242,1.3811187758350587,374.0,1454.388888888889,-1080.388888888889,223.8834094919756,-4.825676414971749,,,,
89.0,background,183.4468247,13.4248521,1.2709945913863743,2098.0,1454.388888888889,643.6111111111111,223.8834094919756,2.874760182416193,,,,
140.0,background,183.8023507,14.4328799,1.2775333993639433,995.0,1454.388888888889,-459.3888888888889,223.8834094919756,-2.0519112601121714,,,,
145.0,background,183.820077,13.0239966,1.1417396455609556,703.0,1454.388888888889,-751.3888888888889,223.8834094919756,-3.3561615422683655,,,,
167.0,background,183.9766077,13.1494566,1.1036308081391604,131.0,1454.388888888889,-1323.388888888889,223.8834094919756,-5.911062779916801,,,,
199.0,background,184.1407813,7.4620674,1.7641370563063044,2584.0,1454.388888888889,1129.611111111111,223.8834094919756,5.045532912306298,,,,
200.0,background,184.1404477,13.031597,1.0505340442084856,8.0,1454.388888888889,-1446.388888888889,223.8834094919756,-6.460455878222321,,,,
220.0,background,184.2820056,7.6242759,1.7020288509837644,2275.0,1454.388888888889,820.6111111111111,223.8834094919756,3.6653502507095026,,,,
222.0,background,184.2911844,7.1915747,1.8039683564932587,2263.0,1454.388888888889,808.6111111111111,223.8834094919756,3.6117509240455496,,,,
226.0,background,184.2976068,15.3240384,1.3039859285346083,864.0,1454.388888888889,-590.3888888888889,223.8834094919756,-2.637037242860327,,,,
230.0,background,184.3318761,11.9434644,0.9870443124665397,1430.0,1454.388888888889,-24.388888888888914,223.8834094919756,-0.10893566854386795,,,,
308.0,background,184.712027,7.8619797,1.574474266480214,1530.0,1454.388888888889,75.61111111111109,223.8834094919756,0.33772538698907534,,,,
315.0,background,184.7523115,6.0946187,2.016900958341966,1589.0,1454.388888888889,134.6111111111111,223.8834094919756,0.6012554097535119,,,,
341.0,background,184.8427241,6.0986724,2.0048363070218103,1776.0,1454.388888888889,321.6111111111111,223.8834094919756,1.4365115836001159,,,,
345.0,background,184.8467458,5.8248971,2.0768961626170346,2177.0,1454.388888888889,722.6111111111111,223.8834094919756,3.2276224162872182,,,,
355.0,background,184.8773845,14.8776534,1.0921649821233357,1359.0,1454.388888888889,-95.38888888888891,223.8834094919756,-0.42606501797225765,,,,
369.0,background,184.9386693,12.798262,0.8111391602934924,1021.0,1454.388888888889,-433.3888888888889,223.8834094919756,-1.9357793856736059,,,,
397.0,background,185.0507418,6.6231923,1.8414179789283651,2442.0,1454.388888888889,987.6111111111111,223.8834094919756,4.411274213449518,,,,
465.0,background,185.3243502,11.5106643,0.7363390291609544,355.0,1454.388888888889,-1099.388888888889,223.8834094919756,-4.910542015523008,,,,
483.0,background,185.3865368,14.6061371,0.9300726713487241,1124.0,1454.388888888889,-330.3888888888889,223.8834094919756,-1.4757184984746743,,,,
490.0,background,185.4115379,15.7451112,1.1784638159387395,1267.0,1454.388888888889,-187.3888888888889,223.8834094919756,-0.8369931890625655,,,,
491.0,background,185.4180145,11.5031588,0.7117087400529215,237.0,1454.388888888889,-1217.388888888889,223.8834094919756,-5.437602061051881,,,,
497.0,background,185.4266475,14.59495,0.9194374064051346,1098.0,1454.388888888889,-356.3888888888889,223.8834094919756,-1.5918503729132396,,,,
523.0,background,185.5171828,12.7874979,0.6450555857074113,1524.0,1454.388888888889,69.61111111111109,223.8834094919756,0.31092572365709875,,,,
524.0,background,185.5235656,9.0436564,1.1588444861932063,1055.0,1454.388888888889,-399.3888888888889,223.8834094919756,-1.7839146267924053,,,,
538.0,background,185.5614014,7.1671499,1.6376344098522797,755.0,1454.388888888889,-699.3888888888889,223.8834094919756,-3.1238977933912353,,,,
543.0,background,185.5813776,14.7607696,0.9229510105800053,977.0,1454.388888888889,-477.3888888888889,223.8834094919756,-2.132310250108101,,,,
559.0,background,185.6305649,15.537915,1.0931644552946302,158.0,1454.388888888889,-1296.388888888889,223.8834094919756,-5.790464294922907,,,,
570.0,background,185.6606025,11.8008999,0.6173419937746132,1431.0,1454.388888888889,-23.388888888888914,223.8834094919756,-0.10446905798853852,,,,
571.0,background,185.6712666,7.9503803,1.4165525735191336,1101.0,1454.388888888889,-353.3888888888889,223.8834094919756,-1.5784505412472514,,,,
575.0,background,185.6803578,8.1982639,1.3503822516526618,1203.0,1454.388888888889,-251.3888888888889,223.8834094919756,-1.1228562646036493,,,,
596.0,background,185.7287922,15.8222817,1.1484097181307094,1571.0,1454.388888888889,116.61111111111109,223.8834094919756,0.5208564197575821,,,,
613.0,background,185.7757201,5.2503454,2.1451434460873346,1667.0,1454.388888888889,212.6111111111111,223.8834094919756,0.9496510330692076,,,,
648.0,background,185.8956063,6.0817747,1.9035366196195989,1266.0,1454.388888888889,-188.3888888888889,223.8834094919756,-0.841459799617895,,,,
654.0,background,185.8970174,16.7223449,1.3611971540762582,933.0,1454.388888888889,-521.3888888888889,223.8834094919756,-2.328841114542596,,,,
657.0,background,185.9125041,7.0539981,1.6328100957825338,761.0,1454.388888888889,-693.3888888888889,223.8834094919756,-3.0970981300592584,,,,
685.0,background,185.9910099,16.6933384,1.3431091168445042,1210.0,1454.388888888889,-244.3888888888889,223.8834094919756,-1.091589990716343,,,,
